Date,Activity,SubActivity,Department,CostCentre,State,UOM,Source,Identifier,Quantity,Description
1/1/2026,Blasting,Explosives,Mining Open Pit,Blasting,QLD,t,Budget,Budget|Explosives|Blasting,437673.1946,Explosives
1/1/2026,Combustion,Acetylene,Mining,Projects and Work Orders,QLD,m3,Budget,Budget|Acetylene|Projects and Work Orders,45.89436,Acetylene gas
1/1/2026,Combustion,Diesel,Mining,Blasting,QLD,kL,Budget,Budget|Diesel|Blasting,5.529875955,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Crushing - Fixed,QLD,kL,Budget,Budget|Diesel|Crushing - Fixed,0.967421399,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Crushing - Supplemental,QLD,kL,Budget,Budget|Diesel|Crushing - Supplemental,0.091051426,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Drilling - Production,QLD,kL,Budget,Budget|Diesel|Drilling - Production,116.5028805,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Environment,QLD,kL,Budget,Budget|Diesel|Environment,0.13910917,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Exploration and Development,QLD,kL,Budget,Budget|Diesel|Exploration and Development,1.564978166,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Geotechnical,QLD,kL,Budget,Budget|Diesel|Geotechnical,5.177147242,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Grade Control,QLD,kL,Budget,Budget|Diesel|Grade Control,21.6416133,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Hauling,QLD,kL,Budget,Budget|Diesel|Hauling,646.7224064,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Light Vehicles,QLD,kL,Budget,Budget|Diesel|Light Vehicles,17.70164192,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Loading,QLD,kL,Budget,Budget|Diesel|Loading,240.185497,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Management Services,QLD,kL,Budget,Budget|Diesel|Management Services,3.906649199,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Mobile Equipment,QLD,kL,Budget,Budget|Diesel|Mobile Equipment,128.4046299,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Nolans South Crusher,QLD,kL,Budget,Budget|Diesel|Nolans South Crusher,45.63952718,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Operations Administration,QLD,kL,Budget,Budget|Diesel|Operations Administration,0.579621543,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Diesel|Projects and Work Orders,886.176,Diesel - Stationary
1/1/2026,Combustion,Diesel,Mining,Rehandling,QLD,kL,Budget,Budget|Diesel|Rehandling,188.5846997,Diesel - Stationary
1/1/2026,Combustion,Diesel,Utilities,Site Power Generation,QLD,kL,Budget,Budget|Diesel|Site Power Generation,2168.76372,Diesel - Power generation
1/1/2026,Combustion,LPG,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|LPG|Projects and Work Orders,0.35838,LPG - Cylinders
1/1/2026,Combustion,LPG,Processing,Gold Room,QLD,kL,Budget,Budget|LPG|Gold Room,82.9161,LPG - Bulk liquid
1/1/2026,Combustion,Lubricants,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Lubricants|Projects and Work Orders,32.4171,Engine oil
1/1/2026,Electricity,Grid Power,Commercial & Administration,Brisbane Office,QLD,kWh,Budget,Budget|Grid Power|Brisbane Office,1453.0,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Crushing - Fixed,QLD,kWh,Budget,Budget|Grid Power|Crushing - Fixed,88984.51,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Management Services,QLD,kWh,Budget,Budget|Grid Power|Management Services,21800.6,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Milling,QLD,kWh,Budget,Budget|Grid Power|Milling,13871251.01,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Nolans South Crusher,QLD,kWh,Budget,Budget|Grid Power|Nolans South Crusher,453965.44,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Operations Administration,QLD,kWh,Budget,Budget|Grid Power|Operations Administration,15387.34,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Residential,QLD,kWh,Budget,Budget|Grid Power|Residential,88666.34,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Stuart Office,QLD,kWh,Budget,Budget|Grid Power|Stuart Office,3801.04,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Suhrs Creek Rd,QLD,kWh,Budget,Budget|Grid Power|Suhrs Creek Rd,61286.44,Grid electricity
1/1/2026,Electricity,Grid Power,Commercial & Administration,Tailings Disposal,QLD,kWh,Budget,Budget|Grid Power|Tailings Disposal,60004.56,Grid electricity
1/1/2026,Electricity,Site Power,Processing,Milling,QLD,kWh,Budget,Budget|Site Power|Milling,7691800.0,Site electricity
1/1/2026,Milling,Ore Milled,Processing,,QLD,t,Budget,Budget|Ore Milled|nan,584835.0,Ore Milled
1/1/2026,Mining,Ore ROM,Mining,ROM,QLD,t,Budget,Budget|Ore ROM|ROM,625000.0,BRW Non-Beneficiated Ore - HG
1/1/2026,Reagent,Cyanide,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Cyanide|Leach & Adsorption,731.1683,Cyanide
1/1/2026,Reagent,Lime,Mining Open Pit,Projects and Work Orders,QLD,t,Budget,Budget|Lime|Projects and Work Orders,0.0255,Lime
1/1/2026,Reagent,Lime,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Lime|Leach & Adsorption,1306.815,Lime
1/1/2026,Reagent,Soda Ash,Mining,Projects and Work Orders,QLD,kg,Budget,Budget|Soda Ash|Projects and Work Orders,50.31,Soda ash
1/1/2026,Revenue,Gold Recovered,Processing,,QLD,oz,Budget,Budget|Gold Recovered|nan,15518.0,Gold Recovered
1/1/2026,Revenue,Gold Sold,Sales,,QLD,oz,Budget,Budget|Gold Sold|nan,18770.0,Gold Sold
1/1/2026,Wear Item,Grinding Media,Processing,Milling,QLD,t,Budget,Budget|Grinding Media|Milling,541.7081,Grinding Media
1/1/2026,Wear Item,Tyres,Maintenance,Hauling,QLD,Each,Budget,Budget|Tyres|Hauling,0.8504,Tyres
1/1/2026,Wear Item,Tyres,Maintenance,Mobile Equipment,QLD,Each,Budget,Budget|Tyres|Mobile Equipment,1.063,Tyres
1/1/2026,Wear Item,Tyres,Mining Open Pit,Projects and Work Orders,QLD,Each,Budget,Budget|Tyres|Projects and Work Orders,15.0239,Tyres
1/1/2027,Blasting,Explosives,Mining Open Pit,Blasting,QLD,t,Budget,Budget|Explosives|Blasting,846168.174,Explosives
1/1/2027,Combustion,Acetylene,Mining,Projects and Work Orders,QLD,m3,Budget,Budget|Acetylene|Projects and Work Orders,88.7262,Acetylene gas
1/1/2027,Combustion,Diesel,Mining,Blasting,QLD,kL,Budget,Budget|Diesel|Blasting,10.68445861,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Crushing - Fixed,QLD,kL,Budget,Budget|Diesel|Crushing - Fixed,0.95974959,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Crushing - Supplemental,QLD,kL,Budget,Budget|Diesel|Crushing - Supplemental,0.094208549,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Drilling - Production,QLD,kL,Budget,Budget|Diesel|Drilling - Production,225.2497792,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Environment,QLD,kL,Budget,Budget|Diesel|Environment,0.13789611,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Exploration and Development,QLD,kL,Budget,Budget|Diesel|Exploration and Development,1.564821079,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Geotechnical,QLD,kL,Budget,Budget|Diesel|Geotechnical,10.0017456,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Grade Control,QLD,kL,Budget,Budget|Diesel|Grade Control,41.82755043,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Hauling,QLD,kL,Budget,Budget|Diesel|Hauling,1250.343364,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Light Vehicles,QLD,kL,Budget,Budget|Diesel|Light Vehicles,17.70466148,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Loading,QLD,kL,Budget,Budget|Diesel|Loading,464.3586325,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Management Services,QLD,kL,Budget,Budget|Diesel|Management Services,3.903059473,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Mobile Equipment,QLD,kL,Budget,Budget|Diesel|Mobile Equipment,248.2458291,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Nolans South Crusher,QLD,kL,Budget,Budget|Diesel|Nolans South Crusher,45.64404186,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Operations Administration,QLD,kL,Budget,Budget|Diesel|Operations Administration,0.581561857,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Diesel|Projects and Work Orders,886.176,Diesel - Stationary
1/1/2027,Combustion,Diesel,Mining,Rehandling,QLD,kL,Budget,Budget|Diesel|Rehandling,364.6028832,Diesel - Stationary
1/1/2027,Combustion,Diesel,Utilities,Site Power Generation,QLD,kL,Budget,Budget|Diesel|Site Power Generation,2168.76372,Diesel - Power generation
1/1/2027,Combustion,LPG,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|LPG|Projects and Work Orders,0.69504,LPG - Cylinders
1/1/2027,Combustion,LPG,Processing,Gold Room,QLD,kL,Budget,Budget|LPG|Gold Room,82.9161,LPG - Bulk liquid
1/1/2027,Combustion,Lubricants,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Lubricants|Projects and Work Orders,62.6622,Engine oil
1/1/2027,Electricity,Grid Power,Commercial & Administration,Brisbane Office,QLD,kWh,Budget,Budget|Grid Power|Brisbane Office,1453.0,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Crushing - Fixed,QLD,kWh,Budget,Budget|Grid Power|Crushing - Fixed,88984.51,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Management Services,QLD,kWh,Budget,Budget|Grid Power|Management Services,21800.6,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Milling,QLD,kWh,Budget,Budget|Grid Power|Milling,13871251.01,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Nolans South Crusher,QLD,kWh,Budget,Budget|Grid Power|Nolans South Crusher,453965.44,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Operations Administration,QLD,kWh,Budget,Budget|Grid Power|Operations Administration,15387.34,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Residential,QLD,kWh,Budget,Budget|Grid Power|Residential,88666.34,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Stuart Office,QLD,kWh,Budget,Budget|Grid Power|Stuart Office,3801.04,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Suhrs Creek Rd,QLD,kWh,Budget,Budget|Grid Power|Suhrs Creek Rd,61286.44,Grid electricity
1/1/2027,Electricity,Grid Power,Commercial & Administration,Tailings Disposal,QLD,kWh,Budget,Budget|Grid Power|Tailings Disposal,60004.56,Grid electricity
1/1/2027,Electricity,Site Power,Processing,Milling,QLD,kWh,Budget,Budget|Site Power|Milling,7691800.0,Site electricity
1/1/2027,Milling,Ore Milled,Processing,,QLD,t,Budget,Budget|Ore Milled|nan,584835.0,Ore Milled
1/1/2027,Mining,Ore ROM,Mining,ROM,QLD,t,Budget,Budget|Ore ROM|ROM,1208333.33,BRW Non-Beneficiated Ore - HG
1/1/2027,Reagent,Cyanide,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Cyanide|Leach & Adsorption,1413.592,Cyanide
1/1/2027,Reagent,Lime,Mining Open Pit,Projects and Work Orders,QLD,t,Budget,Budget|Lime|Projects and Work Orders,0.0493,Lime
1/1/2027,Reagent,Lime,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Lime|Leach & Adsorption,2526.509,Lime
1/1/2027,Reagent,Soda Ash,Mining,Projects and Work Orders,QLD,kg,Budget,Budget|Soda Ash|Projects and Work Orders,97.26,Soda ash
1/1/2027,Revenue,Gold Recovered,Processing,,QLD,oz,Budget,Budget|Gold Recovered|nan,15518.0,Gold Recovered
1/1/2027,Revenue,Gold Sold,Sales,,QLD,oz,Budget,Budget|Gold Sold|nan,18770.0,Gold Sold
1/1/2027,Wear Item,Grinding Media,Processing,Milling,QLD,t,Budget,Budget|Grinding Media|Milling,1047.3022,Grinding Media
1/1/2027,Wear Item,Tyres,Maintenance,Hauling,QLD,Each,Budget,Budget|Tyres|Hauling,1.6441,Tyres
1/1/2027,Wear Item,Tyres,Maintenance,Mobile Equipment,QLD,Each,Budget,Budget|Tyres|Mobile Equipment,2.0552,Tyres
1/1/2027,Wear Item,Tyres,Mining Open Pit,Projects and Work Orders,QLD,Each,Budget,Budget|Tyres|Projects and Work Orders,29.0462,Tyres
1/1/2028,Blasting,Explosives,Mining Open Pit,Blasting,QLD,t,Budget,Budget|Explosives|Blasting,1114607.738,Explosives
1/1/2028,Combustion,Acetylene,Mining,Projects and Work Orders,QLD,m3,Budget,Budget|Acetylene|Projects and Work Orders,116.87532,Acetylene gas
1/1/2028,Combustion,Diesel,Mining,Blasting,QLD,kL,Budget,Budget|Diesel|Blasting,14.07520443,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Crushing - Fixed,QLD,kL,Budget,Budget|Diesel|Crushing - Fixed,0.961048148,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Crushing - Supplemental,QLD,kL,Budget,Budget|Diesel|Crushing - Supplemental,0.089399828,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Drilling - Production,QLD,kL,Budget,Budget|Diesel|Drilling - Production,296.7057646,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Environment,QLD,kL,Budget,Budget|Diesel|Environment,0.141076571,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Exploration and Development,QLD,kL,Budget,Budget|Diesel|Exploration and Development,1.560944,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Geotechnical,QLD,kL,Budget,Budget|Diesel|Geotechnical,13.17630294,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Grade Control,QLD,kL,Budget,Budget|Diesel|Grade Control,55.10607523,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Hauling,QLD,kL,Budget,Budget|Diesel|Hauling,1646.992353,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Light Vehicles,QLD,kL,Budget,Budget|Diesel|Light Vehicles,17.70283429,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Loading,QLD,kL,Budget,Budget|Diesel|Loading,611.6740215,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Management Services,QLD,kL,Budget,Budget|Diesel|Management Services,3.904635429,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Mobile Equipment,QLD,kL,Budget,Budget|Diesel|Mobile Equipment,327.0067099,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Nolans South Crusher,QLD,kL,Budget,Budget|Diesel|Nolans South Crusher,45.64755202,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Operations Administration,QLD,kL,Budget,Budget|Diesel|Operations Administration,0.582509714,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Diesel|Projects and Work Orders,886.176,Diesel - Stationary
1/1/2028,Combustion,Diesel,Mining,Rehandling,QLD,kL,Budget,Budget|Diesel|Rehandling,480.2637257,Diesel - Stationary
1/1/2028,Combustion,Diesel,Processing,,QLD,kL,Budget,Budget|Diesel|nan,43.37484,Diesel - Stationary
1/1/2028,Combustion,LPG,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|LPG|Projects and Work Orders,0.91224,LPG - Cylinders
1/1/2028,Combustion,LPG,Processing,Gold Room,QLD,kL,Budget,Budget|LPG|Gold Room,82.9161,LPG - Bulk liquid
1/1/2028,Combustion,Lubricants,Mining,Projects and Work Orders,QLD,kL,Budget,Budget|Lubricants|Projects and Work Orders,82.52514,Engine oil
1/1/2028,Electricity,Grid Power,Commercial & Administration,Brisbane Office,QLD,kWh,Budget,Budget|Grid Power|Brisbane Office,1453.0,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Crushing - Fixed,QLD,kWh,Budget,Budget|Grid Power|Crushing - Fixed,88984.51,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Management Services,QLD,kWh,Budget,Budget|Grid Power|Management Services,21800.6,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Milling,QLD,kWh,Budget,Budget|Grid Power|Milling,21563051.01,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Nolans South Crusher,QLD,kWh,Budget,Budget|Grid Power|Nolans South Crusher,453965.44,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Operations Administration,QLD,kWh,Budget,Budget|Grid Power|Operations Administration,15387.34,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Residential,QLD,kWh,Budget,Budget|Grid Power|Residential,88666.34,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Stuart Office,QLD,kWh,Budget,Budget|Grid Power|Stuart Office,3801.04,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Suhrs Creek Rd,QLD,kWh,Budget,Budget|Grid Power|Suhrs Creek Rd,61286.44,Grid electricity
1/1/2028,Electricity,Grid Power,Commercial & Administration,Tailings Disposal,QLD,kWh,Budget,Budget|Grid Power|Tailings Disposal,60004.56,Grid electricity
1/1/2028,Milling,Ore Milled,Processing,,QLD,t,Budget,Budget|Ore Milled|nan,584835.0,Ore Milled
1/1/2028,Mining,Ore ROM,Mining,ROM,QLD,t,Budget,Budget|Ore ROM|ROM,1591666.67,BRW Non-Beneficiated Ore - HG
1/1/2028,Reagent,Cyanide,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Cyanide|Leach & Adsorption,1862.0419,Cyanide
1/1/2028,Reagent,Lime,Mining Open Pit,Projects and Work Orders,QLD,t,Budget,Budget|Lime|Projects and Work Orders,0.065,Lime
1/1/2028,Reagent,Lime,Processing,Leach & Adsorption,QLD,t,Budget,Budget|Lime|Leach & Adsorption,3328.0222,Lime
1/1/2028,Reagent,Soda Ash,Mining,Projects and Work Orders,QLD,kg,Budget,Budget|Soda Ash|Projects and Work Orders,128.12,Soda ash
1/1/2028,Revenue,Gold Recovered,Processing,,QLD,oz,Budget,Budget|Gold Recovered|nan,15518.0,Gold Recovered
1/1/2028,Revenue,Gold Sold,Sales,,QLD,oz,Budget,Budget|Gold Sold|nan,18770.0,Gold Sold
1/1/2028,Wear Item,Grinding Media,Processing,Milling,QLD,t,Budget,Budget|Grinding Media|Milling,1379.5498,Grinding Media
1/1/2028,Wear Item,Tyres,Maintenance,Hauling,QLD,Each,Budget,Budget|Tyres|Hauling,2.1657,Tyres
1/1/2028,Wear Item,Tyres,Maintenance,Mobile Equipment,QLD,Each,Budget,Budget|Tyres|Mobile Equipment,2.7071,Tyres
